shape,x,y,r
c,28,397,32.802438933713454
c,47,431,24.166091947189145
c,11,440,27.202941017470888
c,4,476,30.0
c,29,5,22.0
c,3,55,27.85677655436824
c,35,41,22.80350850198276
c,29,80,32.31098884280702
c,1,103,20.8806130178211
c,28,108,14.142135623730951
c,22,134,28.635642126552707
c,1,165,26.30589287593181
c,46,21,13.416407864998739
c,68,28,14.422205101855956
c,87,10,19.697715603592208
c,68,58,34.92849839314596
c,62,115,30.528675044947494
c,93,88,31.240998703626616
c,104,55,22.80350850198276
c,119,34,22.80350850198276
c,133,56,21.633307652783937
c,136,98,33.1058907144937
c,122,134,25.612496949731394
c,79,156,31.240998703626616
c,37,169,32.55764119219941
c,9,228,31.622776601683793
c,51,216,34.92849839314596
c,40,251,27.202941017470888
c,22,293,33.28663395418648
c,109,199,22.627416997969522
c,73,258,29.120439557122072
c,60,302,31.240998703626616
c,18,331,28.42534080710379
c,50,336,29.5296461204668
c,49,368,27.202941017470888
c,2,367,27.202941017470888
c,57,478,42.04759208325728
c,100,470,22.80350850198276
c,89,435,24.0
c,74,409,27.784887978899608
c,82,376,26.832815729997478
c,86,336,31.04834939252005
c,94,294,26.0
c,108,268,26.832815729997478
c,84,195,26.0
c,83,228,24.08318915758459
c,116,237,26.90724809414742
c,116,166,29.732137494637012
c,149,10,24.331050121192877
c,191,23,30.265491900843113
c,162,38,27.202941017470888
c,172,71,32.2490309931942
c,242,18,23.40939982143925
c,211,52,33.28663395418648
c,202,87,27.202941017470888
c,161,136,34.40930106817051
c,149,179,27.202941017470888
c,155,218,35.77708763999664
c,141,268,25.45584412271571
c,118,309,24.166091947189145
c,113,391,28.42534080710379
c,128,428,28.284271247461902
c,122,347,34.058772731852805
c,194,118,26.30589287593181
c,221,174,24.331050121192877
c,230,129,38.05259518088089
c,197,152,30.066592756745816
c,188,189,32.0624390837628
c,197,227,24.08318915758459
c,177,254,22.80350850198276
c,169,287,25.059928172283335
c,162,319,27.85677655436824
c,152,352,25.059928172283335
c,151,392,28.635642126552707
c,134,463,29.120439557122072
c,171,422,29.120439557122072
c,175,468,34.52535300326414
c,187,349,26.0
c,206,320,34.17601498127012
c,204,268,30.463092423455635
c,227,237,38.2099463490856
c,234,78,25.298221281347036
c,246,45,24.166091947189145
c,267,5,22.80350850198276
c,284,29,24.166091947189145
c,272,66,35.4400902933387
c,253,102,22.360679774997898
c,282,114,27.202941017470888
c,270,139,19.697715603592208
c,250,162,31.622776601683793
c,270,189,26.076809620810597
c,263,228,23.323807579381203
c,258,253,22.360679774997898
c,237,200,30.528675044947494
c,237,276,28.844410203711913
c,243,310,27.85677655436824
c,203,374,24.166091947189145
c,204,407,28.635642126552707
c,214,439,28.071337695236398
c,232,467,27.202941017470888
c,246,345,26.076809620810597
c,238,382,25.298221281347036
c,248,414,28.635642126552707
c,264,449,26.30589287593181
c,271,375,26.90724809414742
c,273,327,31.11269837220809
c,271,270,16.1245154965971
c,294,210,27.85677655436824
c,301,144,32.31098884280702
c,318,4,25.298221281347036
c,328,30,20.09975124224178
c,324,59,22.090722034374522
c,326,97,20.09975124224178
c,309,114,17.08800749063506
c,340,134,32.0624390837628
c,316,181,26.0
c,318,238,26.076809620810597
c,330,271,30.265491900843113
c,295,263,21.540659228538015
c,286,294,29.732137494637012
c,309,323,26.0
c,340,310,30.59411708155671
c,297,353,28.635642126552707
c,281,407,28.635642126552707
c,314,449,28.071337695236398
c,328,360,26.0
c,321,396,29.732137494637012
c,344,426,32.55764119219941
c,341,464,28.844410203711913
c,360,348,32.2490309931942
c,355,392,29.120439557122072
c,352,90,26.076809620810597
c,344,214,28.284271247461902
c,367,248,28.071337695236398
c,367,284,22.090722034374522
c,382,320,28.071337695236398
c,398,361,34.92849839314596
c,400,397,20.0
c,381,420,30.59411708155671
c,385,454,20.09975124224178
c,413,452,22.090722034374522
c,419,420,28.071337695236398
c,443,450,30.528675044947494
c,454,403,38.8329756778952
c,476,478,26.832815729997478
c,359,29,26.0
c,387,13,22.80350850198276
c,368,59,22.80350850198276
c,378,209,27.202941017470888
c,397,265,27.202941017470888
c,414,325,29.732137494637012
c,435,364,34.058772731852805
c,464,340,27.202941017470888
c,395,239,14.560219778561036
c,371,174,31.04834939252005
c,376,138,29.120439557122072
c,391,106,30.463092423455635
c,408,166,32.2490309931942
c,415,202,31.622776601683793
c,427,236,30.0
c,429,270,27.85677655436824
c,452,300,28.844410203711913
c,478,315,22.80350850198276
c,457,253,28.42534080710379
c,459,224,25.612496949731394
c,459,182,41.617304093369626
c,414,34,32.55764119219941
c,448,18,29.120439557122072
c,444,56,28.635642126552707
c,420,81,32.2490309931942
c,474,44,29.120439557122072
c,473,78,26.076809620810597
c,459,103,22.627416997969522
c,479,122,20.09975124224178
c,426,139,21.540659228538015
c,457,140,26.832815729997478
c,426,114,24.413111231467404
c,479,383,21.540659228538015
c,97,123,23.40939982143925
