shape,x,y,r
c,19,4,26.076809620810597
c,4,26,21.2602916254693
c,2,58,24.166091947189145
c,18,113,26.90724809414742
c,19,147,22.360679774997898
c,4,178,24.413111231467404
c,36,170,25.059928172283335
c,34,203,34.40930106817051
c,19,240,30.0
c,29,270,30.463092423455635
c,11,317,32.55764119219941
c,1,277,20.09975124224178
c,37,345,28.42534080710379
c,8,356,29.732137494637012
c,37,377,29.5296461204668
c,12,406,26.90724809414742
c,41,429,34.058772731852805
c,2,441,26.68332812825267
c,29,471,38.8329756778952
c,57,285,29.5296461204668
c,82,322,28.844410203711913
c,67,355,26.90724809414742
c,92,378,37.20215047547655
c,75,411,25.612496949731394
c,51,104,24.413111231467404
c,59,76,21.540659228538015
c,47,20,30.528675044947494
c,79,52,29.120439557122072
c,91,22,24.166091947189145
c,113,3,25.059928172283335
c,62,142,32.55764119219941
c,82,182,30.0
c,79,223,38.8329756778952
c,85,257,26.0
c,108,264,17.88854381999832
c,90,289,28.284271247461902
c,103,347,24.08318915758459
c,74,445,30.528675044947494
c,76,478,26.0
c,111,469,32.0624390837628
c,105,427,30.528675044947494
c,93,94,28.635642126552707
c,116,56,31.11269837220809
c,141,20,26.90724809414742
c,126,88,29.732137494637012
c,140,120,24.08318915758459
c,109,128,32.802438933713454
c,120,159,28.844410203711913
c,115,193,23.323807579381203
c,119,314,23.323807579381203
c,127,284,32.802438933713454
c,123,400,28.284271247461902
c,140,428,25.059928172283335
c,130,361,31.240998703626616
c,150,330,30.528675044947494
c,160,397,36.05551275463989
c,157,457,33.94112549695428
c,125,231,26.076809620810597
c,145,210,22.627416997969522
c,172,8,28.071337695236398
c,166,56,27.784887978899608
c,159,91,28.844410203711913
c,167,128,25.612496949731394
c,175,160,30.463092423455635
c,151,257,25.059928172283335
c,160,290,26.0
c,168,232,28.42534080710379
c,183,198,37.20215047547655
c,200,235,32.802438933713454
c,188,275,29.732137494637012
c,182,312,30.528675044947494
c,176,365,21.2602916254693
c,186,429,31.240998703626616
c,192,343,28.42534080710379
c,218,359,22.360679774997898
c,205,394,30.0
c,223,426,34.0
c,209,455,23.323807579381203
c,236,479,34.058772731852805
c,205,8,27.784887978899608
c,193,41,27.202941017470888
c,187,104,30.0
c,212,75,31.622776601683793
c,229,34,26.832815729997478
c,219,116,32.2490309931942
c,206,152,28.844410203711913
c,226,186,31.622776601683793
c,232,216,24.166091947189145
c,226,262,30.59411708155671
c,222,299,32.802438933713454
c,223,331,29.732137494637012
c,247,358,27.784887978899608
c,241,391,27.85677655436824
c,261,421,34.40930106817051
c,274,456,30.59411708155671
c,246,140,25.298221281347036
c,254,108,27.202941017470888
c,264,3,14.0
c,281,24,32.0
c,257,58,26.076809620810597
c,290,63,27.784887978899608
c,286,91,21.540659228538015
c,254,84,17.88854381999832
c,280,127,28.0
c,272,160,28.635642126552707
c,262,192,29.5296461204668
c,261,226,26.0
c,262,259,30.0
c,259,301,21.2602916254693
c,300,258,32.984845004941285
c,280,344,26.30589287593181
c,272,379,30.59411708155671
c,298,430,27.85677655436824
c,296,399,17.88854381999832
c,323,389,29.732137494637012
c,304,362,28.635642126552707
c,335,359,29.732137494637012
c,307,308,32.2490309931942
c,332,277,29.120439557122072
c,335,331,16.1245154965971
c,360,385,29.5296461204668
c,327,426,28.42534080710379
c,316,472,33.52610922848042
c,347,454,29.5296461204668
c,376,479,28.42534080710379
c,291,221,24.166091947189145
c,301,169,25.612496949731394
c,314,105,30.59411708155671
c,311,10,30.066592756745816
c,329,44,24.331050121192877
c,326,73,28.0
c,322,142,22.80350850198276
c,332,189,32.802438933713454
c,319,231,26.90724809414742
c,344,250,24.413111231467404
c,346,308,27.202941017470888
c,383,318,31.622776601683793
c,370,351,30.0
c,362,418,31.240998703626616
c,387,443,30.528675044947494
c,408,465,28.42534080710379
c,345,6,26.68332812825267
c,354,216,28.071337695236398
c,368,281,24.73863375370596
c,396,401,28.635642126552707
c,399,369,28.42534080710379
c,436,426,31.240998703626616
c,446,463,28.42534080710379
c,478,456,24.413111231467404
c,435,387,32.2490309931942
c,477,418,32.2490309931942
c,411,337,27.784887978899608
c,354,155,28.844410203711913
c,355,104,29.732137494637012
c,385,9,28.0
c,357,32,24.08318915758459
c,355,71,25.45584412271571
c,383,63,26.30589287593181
c,400,59,28.635642126552707
c,411,18,20.396078054371138
c,442,7,26.0
c,478,7,27.202941017470888
c,432,42,33.28663395418648
c,384,93,24.08318915758459
c,377,127,19.79898987322333
c,420,83,26.90724809414742
c,408,113,28.635642126552707
c,380,182,34.9857113690718
c,366,186,22.360679774997898
c,465,45,20.396078054371138
c,457,74,24.0
c,478,94,25.612496949731394
c,446,103,28.844410203711913
c,399,148,26.076809620810597
c,423,175,28.284271247461902
c,438,135,26.90724809414742
c,474,152,29.732137494637012
c,452,177,23.323807579381203
c,405,211,25.612496949731394
c,377,240,28.42534080710379
c,453,215,30.59411708155671
c,461,255,34.9857113690718
c,422,250,29.732137494637012
c,393,264,22.80350850198276
c,409,288,23.323807579381203
c,437,288,25.059928172283335
c,468,298,25.612496949731394
c,442,326,32.802438933713454
c,456,357,24.08318915758459
c,474,376,20.0
c,479,335,20.591260281974
