shape,x,y,r
c,34,12,31.04834939252005
c,1,46,20.0
c,36,54,37.57658845611187
c,2,94,31.622776601683793
c,44,94,32.802438933713454
c,26,149,40.496913462633174
c,1,127,16.492422502470642
c,67,170,34.9857113690718
c,26,187,28.284271247461902
c,22,224,33.28663395418648
c,55,210,29.732137494637012
c,28,264,30.0
c,2,292,28.635642126552707
c,5,335,27.202941017470888
c,18,377,33.1058907144937
c,9,417,27.85677655436824
c,11,452,29.120439557122072
c,39,406,22.80350850198276
c,35,309,34.92849839314596
c,63,336,24.08318915758459
c,58,374,33.1058907144937
c,47,453,32.802438933713454
c,81,233,28.42534080710379
c,83,265,28.42534080710379
c,81,305,33.28663395418648
c,75,5,24.08318915758459
c,72,42,31.240998703626616
c,93,73,29.732137494637012
c,82,118,32.802438933713454
c,96,151,30.528675044947494
c,116,178,33.1058907144937
c,92,204,26.832815729997478
c,143,210,35.77708763999664
c,128,251,30.0
c,120,286,30.265491900843113
c,112,323,23.323807579381203
c,96,365,31.304951684997057
c,135,356,30.528675044947494
c,91,408,28.42534080710379
c,85,449,33.94112549695428
c,87,479,20.591260281974
c,121,458,31.622776601683793
c,134,422,32.984845004941285
c,126,389,21.2602916254693
c,155,380,22.090722034374522
c,161,452,30.066592756745816
c,164,432,16.1245154965971
c,154,275,31.11269837220809
c,182,248,35.77708763999664
c,174,309,32.0624390837628
c,169,341,28.071337695236398
c,205,291,32.55764119219941
c,213,346,33.1058907144937
c,194,376,31.622776601683793
c,201,416,38.8329756778952
c,216,457,25.612496949731394
c,236,431,26.90724809414742
c,261,448,26.832815729997478
c,248,399,30.528675044947494
c,280,414,27.784887978899608
c,111,30,34.92849839314596
c,119,128,32.2490309931942
c,128,84,32.802438933713454
c,154,60,31.11269837220809
c,150,23,34.0
c,189,3,26.0
c,190,42,38.8329756778952
c,146,176,24.166091947189145
c,160,147,32.2490309931942
c,179,181,33.94112549695428
c,174,119,18.867962264113206
c,179,82,22.80350850198276
c,171,100,21.633307652783937
c,192,145,16.1245154965971
c,198,127,24.73863375370596
c,206,100,25.612496949731394
c,233,154,32.55764119219941
c,240,205,36.76955262170047
c,194,211,18.867962264113206
c,212,207,16.1245154965971
c,205,213,18.867962264113206
c,217,242,26.076809620810597
c,246,259,34.058772731852805
c,239,307,36.87817782917155
c,274,292,31.240998703626616
c,248,350,24.08318915758459
c,275,376,23.323807579381203
c,307,392,35.38361202590826
c,312,434,36.76955262170047
c,328,467,24.413111231467404
c,227,3,23.323807579381203
c,242,32,36.05551275463989
c,228,74,33.94112549695428
c,250,119,36.87817782917155
c,267,71,36.87817782917155
c,287,103,30.463092423455635
c,287,142,34.058772731852805
c,264,173,32.55764119219941
c,281,220,33.94112549695428
c,290,255,33.52610922848042
c,282,341,31.622776601683793
c,305,309,32.802438933713454
c,319,346,28.42534080710379
c,341,369,27.85677655436824
c,349,410,26.90724809414742
c,365,444,26.90724809414742
c,358,477,26.076809620810597
c,274,478,16.492422502470642
c,388,478,13.416407864998739
c,418,477,26.90724809414742
c,392,414,31.11269837220809
c,391,457,18.439088914585774
c,412,450,18.110770276274835
c,402,456,20.591260281974
c,455,462,34.0
c,431,425,30.0
c,273,7,19.79898987322333
c,279,32,27.784887978899608
c,308,14,25.612496949731394
c,307,50,35.38361202590826
c,323,123,35.608987629529715
c,333,136,29.732137494637012
c,307,178,33.52610922848042
c,319,214,39.395431207184416
c,331,260,38.41874542459709
c,344,308,36.87817782917155
c,381,333,36.05551275463989
c,381,369,27.784887978899608
c,322,84,27.202941017470888
c,346,44,36.76955262170047
c,359,4,32.0624390837628
c,371,88,36.05551275463989
c,381,49,30.528675044947494
c,412,26,34.9857113690718
c,466,5,28.284271247461902
c,478,38,26.0
c,447,34,31.622776601683793
c,419,62,36.71511950137164
c,352,167,31.11269837220809
c,359,200,28.635642126552707
c,366,246,26.90724809414742
c,375,283,35.38361202590826
c,403,301,28.635642126552707
c,421,332,33.28663395418648
c,416,374,28.42534080710379
c,399,112,34.058772731852805
c,429,94,26.076809620810597
c,463,102,34.058772731852805
c,458,68,33.52610922848042
c,384,147,33.94112549695428
c,453,137,35.77708763999664
c,420,161,35.38361202590826
c,461,174,28.844410203711913
c,400,195,34.058772731852805
c,443,205,32.55764119219941
c,404,246,32.55764119219941
c,436,291,31.240998703626616
c,439,256,27.202941017470888
c,479,203,23.323807579381203
c,476,248,35.38361202590826
c,461,338,24.331050121192877
c,458,397,38.05259518088089
c,478,368,24.08318915758459
c,479,314,29.732137494637012
c,478,281,26.0
c,461,279,15.231546211727817
