shape,x,y,r
c,60,310,30.59411708155671
c,50,39,27.784887978899608
c,45,4,20.396078054371138
c,26,74,34.0
c,2,112,26.90724809414742
c,39,114,30.265491900843113
c,22,149,24.73863375370596
c,40,190,32.2490309931942
c,4,220,33.28663395418648
c,0,174,14.142135623730951
c,45,230,26.832815729997478
c,11,261,27.202941017470888
c,55,271,27.784887978899608
c,25,293,31.304951684997057
c,15,330,27.85677655436824
c,29,364,31.622776601683793
c,23,399,24.08318915758459
c,31,435,27.784887978899608
c,42,478,24.331050121192877
c,81,7,25.059928172283335
c,87,42,32.55764119219941
c,63,75,27.85677655436824
c,104,82,35.38361202590826
c,72,111,26.90724809414742
c,74,148,30.0
c,111,134,28.844410203711913
c,137,172,29.5296461204668
c,108,184,22.80350850198276
c,78,186,23.323807579381203
c,82,219,28.284271247461902
c,88,253,27.202941017470888
c,119,214,24.413111231467404
c,149,213,21.2602916254693
c,167,239,36.05551275463989
c,132,265,31.240998703626616
c,103,296,32.55764119219941
c,95,333,31.11269837220809
c,82,368,30.0
c,70,417,25.612496949731394
c,65,453,26.832815729997478
c,103,445,29.732137494637012
c,113,404,31.240998703626616
c,139,436,28.635642126552707
c,120,474,20.0
c,153,465,23.323807579381203
c,188,477,30.0
c,174,447,21.540659228538015
c,172,415,31.622776601683793
c,136,302,23.323807579381203
c,143,333,27.784887978899608
c,137,373,34.40930106817051
c,145,5,29.732137494637012
c,149,40,26.832815729997478
c,140,68,22.80350850198276
c,162,90,26.076809620810597
c,163,124,31.11269837220809
c,189,155,30.0
c,174,191,29.5296461204668
c,171,300,28.42534080710379
c,194,276,24.08318915758459
c,206,325,27.784887978899608
c,214,360,24.08318915758459
c,201,393,28.42534080710379
c,174,360,28.42534080710379
c,228,426,33.1058907144937
c,228,466,24.08318915758459
c,259,448,32.2490309931942
c,234,393,23.323807579381203
c,182,3,21.540659228538015
c,218,10,28.635642126552707
c,186,31,24.413111231467404
c,195,67,31.240998703626616
c,207,106,29.732137494637012
c,215,185,30.0
c,219,238,20.0
c,226,272,26.90724809414742
c,237,311,25.612496949731394
c,246,358,26.90724809414742
c,268,385,28.284271247461902
c,281,418,27.202941017470888
c,294,450,29.732137494637012
c,228,143,28.42534080710379
c,243,97,27.784887978899608
c,250,60,34.058772731852805
c,276,15,34.058772731852805
c,287,54,30.0
c,291,107,30.0
c,262,129,26.076809620810597
c,295,151,30.463092423455635
c,252,175,26.0
c,242,216,25.612496949731394
c,270,203,24.166091947189145
c,263,253,28.42534080710379
c,270,332,34.058772731852805
c,306,358,28.635642126552707
c,308,395,28.844410203711913
c,333,476,34.9857113690718
c,327,434,24.413111231467404
c,360,449,19.79898987322333
c,410,463,24.166091947189145
c,440,456,22.80350850198276
c,465,474,27.784887978899608
c,279,282,25.45584412271571
c,295,229,31.304951684997057
c,300,189,28.844410203711913
c,314,4,31.304951684997057
c,324,41,31.240998703626616
c,354,6,28.284271247461902
c,430,3,21.633307652783937
c,398,19,31.304951684997057
c,366,36,27.202941017470888
c,361,70,30.528675044947494
c,329,99,23.323807579381203
c,324,131,24.413111231467404
c,334,170,25.612496949731394
c,333,207,29.732137494637012
c,347,247,28.844410203711913
c,314,271,24.413111231467404
c,308,307,26.076809620810597
c,337,333,33.1058907144937
c,344,292,28.844410203711913
c,358,102,25.612496949731394
c,362,136,32.802438933713454
c,375,177,29.732137494637012
c,375,214,31.11269837220809
c,391,249,24.413111231467404
c,402,78,31.622776601683793
c,439,34,31.11269837220809
c,472,49,25.298221281347036
c,444,72,26.90724809414742
c,405,116,27.202941017470888
c,478,91,19.79898987322333
c,455,127,23.40939982143925
c,414,152,28.844410203711913
c,449,157,25.059928172283335
c,422,193,24.166091947189145
c,463,183,19.79898987322333
c,447,210,28.844410203711913
c,425,237,24.73863375370596
c,451,261,30.528675044947494
c,400,276,19.697715603592208
c,428,284,24.166091947189145
c,377,289,22.360679774997898
c,478,145,21.633307652783937
c,478,206,24.413111231467404
c,477,241,26.90724809414742
c,368,320,25.612496949731394
c,404,322,31.240998703626616
c,442,313,22.360679774997898
c,468,326,26.832815729997478
c,378,357,27.784887978899608
c,350,379,26.076809620810597
c,377,417,27.202941017470888
c,434,352,24.0
c,417,387,23.323807579381203
c,415,428,24.73863375370596
c,460,385,33.52610922848042
c,446,422,30.265491900843113
c,478,443,18.0
